route_id=1527114;vehicle_id=37677;time_start=2017-07-19 06:37:38;lon_start=23.9287005;lat_start=49.9111736;time_end=2017-07-19 06:38:38;lon_end=23.9310983;lat_end=49.9084473
route_id=712988;vehicle_id=53981;time_start=2017-07-19 06:38:14;lon_start=23.999662399292;lat_start=49.810115814209;time_end=2017-07-19 06:39:14;lon_end=24.0005645751953;lat_end=49.8103065490723
route_id=712991;vehicle_id=64364;time_start=2017-07-19 06:38:17;lon_start=24.0066016;lat_start=49.8099766;time_end=2017-07-19 06:39:17;lon_end=24.00128;lat_end=49.8103816
route_id=712991;vehicle_id=64505;time_start=2017-07-19 06:38:17;lon_start=23.9949066;lat_start=49.8354383;time_end=2017-07-19 06:39:17;lon_end=23.9995916;lat_end=49.8362616
route_id=712991;vehicle_id=64507;time_start=2017-07-19 06:38:17;lon_start=23.9929866;lat_start=49.8354983;time_end=2017-07-19 06:39:17;lon_end=23.9898616;lat_end=49.834525
route_id=713002;vehicle_id=37167;time_start=2017-07-19 06:38:21;lon_start=24.0354733;lat_start=49.8138366;time_end=2017-07-19 06:39:21;lon_end=24.0308533;lat_end=49.8152649
route_id=713002;vehicle_id=38023;time_start=2017-07-19 06:38:21;lon_start=24.0599683;lat_start=49.8140016;time_end=2017-07-19 06:39:21;lon_end=24.0609033;lat_end=49.8120083
route_id=1723724;vehicle_id=38752;time_start=2017-07-19 06:38:35;lon_start=24.0232866;lat_start=49.8573983;time_end=2017-07-19 06:39:35;lon_end=24.02516;lat_end=49.8586466
route_id=1723724;vehicle_id=39108;time_start=2017-07-19 06:38:35;lon_start=24.033625;lat_start=49.8303983;time_end=2017-07-19 06:39:35;lon_end=24.034845;lat_end=49.8318866
route_id=1723724;vehicle_id=39116;time_start=2017-07-19 06:38:35;lon_start=24.0423933;lat_start=49.813695;time_end=2017-07-19 06:39:35;lon_end=24.03848;lat_end=49.8135283
route_id=1527114;vehicle_id=37677;time_start=2017-07-19 06:38:38;lon_start=23.9310983;lat_start=49.9084473;time_end=2017-07-19 06:39:38;lon_end=23.93545;lat_end=49.9063268
route_id=712988;vehicle_id=53981;time_start=2017-07-19 06:39:14;lon_start=24.0005645751953;lat_start=49.8103065490723;time_end=2017-07-19 06:40:14;lon_end=24.0049476623535;lat_end=49.8099632263184
route_id=712991;vehicle_id=64364;time_start=2017-07-19 06:39:17;lon_start=24.00128;lat_start=49.8103816;time_end=2017-07-19 06:40:17;lon_end=23.9979833;lat_end=49.8106666
route_id=712991;vehicle_id=64505;time_start=2017-07-19 06:39:17;lon_start=23.9995916;lat_start=49.8362616;time_end=2017-07-19 06:40:17;lon_end=24.0018083;lat_end=49.8369366
route_id=712991;vehicle_id=64507;time_start=2017-07-19 06:39:17;lon_start=23.9898616;lat_start=49.834525;time_end=2017-07-19 06:40:17;lon_end=23.9838633;lat_end=49.8333633
route_id=713002;vehicle_id=37167;time_start=2017-07-19 06:39:21;lon_start=24.0308533;lat_start=49.8152649;time_end=2017-07-19 06:40:21;lon_end=24.0256333;lat_end=49.815085
route_id=713002;vehicle_id=38023;time_start=2017-07-19 06:39:21;lon_start=24.0609033;lat_start=49.8120083;time_end=2017-07-19 06:40:21;lon_end=24.06107;lat_end=49.8091783
route_id=1723724;vehicle_id=38752;time_start=2017-07-19 06:39:35;lon_start=24.02516;lat_start=49.8586466;time_end=2017-07-19 06:40:35;lon_end=24.0289499;lat_end=49.8617933
route_id=1723724;vehicle_id=39108;time_start=2017-07-19 06:39:35;lon_start=24.034845;lat_start=49.8318866;time_end=2017-07-19 06:40:35;lon_end=24.0353833;lat_end=49.8342116
route_id=1723724;vehicle_id=39116;time_start=2017-07-19 06:39:35;lon_start=24.03848;lat_start=49.8135283;time_end=2017-07-19 06:40:35;lon_end=24.033835;lat_end=49.8144366
route_id=1723724;vehicle_id=39118;time_start=2017-07-19 06:39:35;lon_start=24.059405;lat_start=49.7863;time_end=2017-07-19 06:40:35;lon_end=24.0592766;lat_end=49.78761
route_id=1527114;vehicle_id=37677;time_start=2017-07-19 06:39:38;lon_start=23.93545;lat_start=49.9063268;time_end=2017-07-19 06:40:38;lon_end=23.93945;lat_end=49.9040908
route_id=712988;vehicle_id=38789;time_start=2017-07-19 06:40:14;lon_start=24.0359325408936;lat_start=49.813777923584;time_end=2017-07-19 06:41:14;lon_end=24.0402431488037;lat_end=49.8122215270996
route_id=712988;vehicle_id=47976;time_start=2017-07-19 06:40:14;lon_start=23.9675273895264;lat_start=49.823802947998;time_end=2017-07-19 06:41:14;lon_end=23.9675273895264;lat_end=49.823802947998
route_id=712988;vehicle_id=53981;time_start=2017-07-19 06:40:14;lon_start=24.0049476623535;lat_start=49.8099632263184;time_end=2017-07-19 06:41:14;lon_end=24.0077114105225;lat_end=49.8097915649414
route_id=712991;vehicle_id=64364;time_start=2017-07-19 06:40:17;lon_start=23.9979833;lat_start=49.8106666;time_end=2017-07-19 06:41:17;lon_end=23.99692;lat_end=49.8107783
route_id=712991;vehicle_id=64505;time_start=2017-07-19 06:40:17;lon_start=24.0018083;lat_start=49.8369366;time_end=2017-07-19 06:41:17;lon_end=23.9988366;lat_end=49.8379983
route_id=712991;vehicle_id=64507;time_start=2017-07-19 06:40:17;lon_start=23.9838633;lat_start=49.8333633;time_end=2017-07-19 06:41:17;lon_end=23.9863733;lat_end=49.8300683
route_id=713002;vehicle_id=37167;time_start=2017-07-19 06:40:21;lon_start=24.0256333;lat_start=49.815085;time_end=2017-07-19 06:41:21;lon_end=24.0218416;lat_end=49.8145866
route_id=713002;vehicle_id=38023;time_start=2017-07-19 06:40:21;lon_start=24.06107;lat_start=49.8091783;time_end=2017-07-19 06:41:21;lon_end=24.05749;lat_end=49.8093883
route_id=712988;vehicle_id=38789;time_start=2017-07-19 06:41:14;lon_start=24.0402431488037;lat_start=49.8122215270996;time_end=2017-07-19 06:43:14;lon_end=24.0439548492432;lat_end=49.8079605102539
route_id=712988;vehicle_id=47976;time_start=2017-07-19 06:41:14;lon_start=23.9675273895264;lat_start=49.823802947998;time_end=2017-07-19 06:43:14;lon_end=23.9675273895264;lat_end=49.823802947998
route_id=712988;vehicle_id=53981;time_start=2017-07-19 06:41:14;lon_start=24.0077114105225;lat_start=49.8097915649414;time_end=2017-07-19 06:43:14;lon_end=24.0197639465332;lat_end=49.8131828308105
route_id=713002;vehicle_id=37167;time_start=2017-07-19 06:41:21;lon_start=24.0218416;lat_start=49.8145866;time_end=2017-07-19 06:43:21;lon_end=24.0191816;lat_end=49.8092466
route_id=713002;vehicle_id=38023;time_start=2017-07-19 06:41:21;lon_start=24.05749;lat_start=49.8093883;time_end=2017-07-19 06:43:21;lon_end=24.0519716;lat_end=49.8111183
route_id=712988;vehicle_id=38789;time_start=2017-07-19 06:43:14;lon_start=24.0439548492432;lat_start=49.8079605102539;time_end=2017-07-19 06:44:14;lon_end=24.0516185760498;lat_end=49.8078536987305
route_id=712988;vehicle_id=47976;time_start=2017-07-19 06:43:14;lon_start=23.9675273895264;lat_start=49.823802947998;time_end=2017-07-19 06:44:14;lon_end=23.9675273895264;lat_end=49.823802947998
route_id=712988;vehicle_id=53981;time_start=2017-07-19 06:43:14;lon_start=24.0197639465332;lat_start=49.8131828308105;time_end=2017-07-19 06:44:14;lon_end=24.0205688476563;lat_end=49.814640045166
route_id=712991;vehicle_id=64364;time_start=2017-07-19 06:43:18;lon_start=23.9905283;lat_start=49.8114583;time_end=2017-07-19 06:44:18;lon_end=23.9838549;lat_end=49.8124166
route_id=712991;vehicle_id=64505;time_start=2017-07-19 06:43:18;lon_start=23.9951933;lat_start=49.8395583;time_end=2017-07-19 06:44:18;lon_end=23.9948916;lat_end=49.8396883
route_id=712991;vehicle_id=64507;time_start=2017-07-19 06:43:18;lon_start=23.9829666;lat_start=49.8272333;time_end=2017-07-19 06:44:18;lon_end=23.976565;lat_end=49.8238616
route_id=713002;vehicle_id=37167;time_start=2017-07-19 06:43:21;lon_start=24.0191816;lat_start=49.8092466;time_end=2017-07-19 06:44:21;lon_end=24.0189716;lat_end=49.80617
route_id=713002;vehicle_id=38023;time_start=2017-07-19 06:43:21;lon_start=24.0519716;lat_start=49.8111183;time_end=2017-07-19 06:44:21;lon_end=24.0461266;lat_end=49.811865
route_id=1723724;vehicle_id=38752;time_start=2017-07-19 06:43:35;lon_start=24.0504533;lat_start=49.8650333;time_end=2017-07-19 06:44:35;lon_end=24.0550516;lat_end=49.86707
route_id=1723724;vehicle_id=39108;time_start=2017-07-19 06:43:35;lon_start=24.0363533;lat_start=49.8404016;time_end=2017-07-19 06:44:35;lon_end=24.0351666;lat_end=49.8419533
route_id=1723724;vehicle_id=39116;time_start=2017-07-19 06:43:35;lon_start=24.027085;lat_start=49.82017;time_end=2017-07-19 06:44:35;lon_end=24.0311633;lat_end=49.8219416
route_id=1723724;vehicle_id=39118;time_start=2017-07-19 06:43:35;lon_start=24.0579733;lat_start=49.7943316;time_end=2017-07-19 06:44:35;lon_end=24.0543266;lat_end=49.79615
